Точка,Широта,Долгота,у,х,NDVI,SAVI,REVI,EVI,TVI,GNDVI,NDII,CVI,PRI,NDRE,OSAVI,ARVI,VARI
Пв1заг2,54.213149,69.513474,59,34,0.41161290322580646,0.6173197871311079,0.6316181953765847,0.9857849196538937,0.6415706533389807,0.44996686547382375,-0.02146690518783542,1.3991228070175437,0.1904127829560586,0.24001133465570984,0.41159165978530143,0.20730117340286833,-0.07118055555555555
Заг2пв,54.215103,69.514337,37,40,0.39359947212141205,0.5903018307768432,0.6346749226006192,0.9772280471821756,0.627375064950315,0.4265450861195542,-0.024480369515011546,1.2981501632208925,0.16870194482134782,0.2408930669800235,0.39357869594478684,0.193859649122807,-0.06044905008635579
ПвЗАГ2ОБР1,54.213129,69.51431,59,40,0.3854059609455293,0.5780099332077411,0.6683168316831682,1.0208711433756805,0.6208107287616165,0.43201133144475923,-0.026714801444043323,1.2541806020066888,0.14935988620199148,0.2504638218923933,0.385384836733855,0.19116321009918846,-0.08804448563484708
ПвЗАГ2ОБР2,54.213864,69.515271,51,46,0.39615129396151294,0.5941283794990877,0.6024371667936024,1.0400696864111498,0.6294055083660397,0.42354533152909335,-0.025925925925925925,1.3120879120879119,0.18128654970760233,0.231489610769681,0.3961302651484991,0.2,-0.051056338028169015
ПвЗАГ2ОБР10,54.21459,69.516632,43,55,0.3984688297484506,0.5975943138326955,0.6063651591289783,1.0180700447093889,0.6312438750185625,0.41863905325443784,-0.08119760479041917,1.3248484848484847,0.1827637444279346,0.2326478149100257,0.3984455882996253,0.2001938923897237,-0.037037037037037035
ПвЗаг3обр10,54.214125,69.517558,48,61,0.472715318869165,0.7089564502875925,0.7891373801916932,1.2469649670482137,0.6875429578354831,0.4859038142620232,0.025875887336844514,1.7930174563591024,0.21908471275559882,0.2829324169530355,0.4726904567807085,0.27090909090909093,-0.02644466209598433
Пв3обр6,54.213925,69.51903,50,70,0.44854673998428907,0.6726880031415668,0.7042513863216266,1.253842775581906,0.6697363212371635,0.4565560821484992,-0.03983337672481125,1.6267806267806266,0.21300448430493274,0.2604237867395762,0.44851855342947816,0.2515991471215352,-0.01580135440180587
Пв3обр5,54.213274,69.517736,58,62,0.554945054945055,0.832274678111588,1.078971533516988,1.4387464387464388,0.744946343668492,0.5323181049069374,0.07835198856870683,2.493827160493827,0.2538860103626943,0.35043244855353417,0.5549145651337839,0.3529705441837244,0.048152295632698766
Пв3обр4,54.213185,69.516977,59,57,0.4927536231884058,0.7389965585944576,0.8592057761732852,1.2031139419674453,0.701964118163034,0.5003641660597232,0.016029593094944512,1.942857142857143,0.22566371681415928,0.3005050505050505,0.4927250594168454,0.28534966819806024,-0.015086206896551725
Пв3обр3,54.212929,69.516105,61,51,0.4163123308851952,0.6243478260869565,0.7105508870214752,1.0931790499390988,0.6452226986748026,0.44650611922621397,-0.050531225706141485,1.4264900662251656,0.17305585980284777,0.26214261109197384,0.41628658451738587,0.2180217503883998,-0.057692307692307696
Пв3обр2,54.212657,69.515235,65,46,0.4538341158059468,0.6806180324662624,0.7495291902071564,1.2073272273105746,0.6736721129792644,0.4515625,-0.02671555788370875,1.6618911174785098,0.20681818181818182,0.2726027397260274,0.4538057085628443,0.253475935828877,0.00437636761487965
Пв3обр1,54.212449,69.514425,67,41,0.44608223429014743,0.6689936009307736,0.7502347417840376,1.1984160066694456,0.6678938795124173,0.4517133956386293,-0.025359477124183006,1.6106442577030813,0.1973018549747049,0.2727893479003073,0.4460545505321625,0.2468354430379747,-0.010893246187363835
Пв2обр7,54.212721,69.514631,64,42,0.4212567882079131,0.631762652705061,0.7153558052434457,1.1783854166666667,0.6490429787062743,0.42679127725856697,-0.047074122236671,1.455764075067024,0.17750826901874311,0.263448275862069,0.42123064511124214,0.22654224987039917,-0.010548523206751054
146,54.213049,69.515212,60,46,0.4339914827719706,0.6508612347590479,0.7276119402985075,1.2378533568904593,0.6587802993198647,0.4412451361867704,-0.04683479155944416,1.5335157318741448,0.18912922906267332,0.2667578659370725,0.4339646014958423,0.2393340270551509,-0.014145810663764961
Пв3обр8,54.213043,69.515258,60,46,0.4339914827719706,0.6508612347590479,0.7276119402985075,1.2378533568904593,0.6587802993198647,0.4412451361867704,-0.04683479155944416,1.5335157318741448,0.18912922906267332,0.2667578659370725,0.4339646014958423,0.2393340270551509,-0.014145810663764961
Пв3обр9,54.21239,69.513365,68,34,0.425614489003881,0.6383185125303152,0.7354330708661416,1.1066263033972419,0.6523913618403304,0.4586366644606221,0.022263450834879406,1.4819819819819822,0.17701575532900835,0.2688543465745538,0.425592466107834,0.22580645161290322,-0.06375227686703097
