Точка,Широта,Долгота,у,х,NDVI,SAVI,REVI,EVI,TVI,GNDVI,NDII,CVI,PRI,NDRE,OSAVI,ARVI,VARI,Урожайность
ПвЗАГ2ОБР1,54.213129,69.51431,59,40,0.32433951658235,0.486440916116341,0.511225144323284,0.715171046108081,0.569508135659491,nan,0.00597779675491033,0.960066555740433,0.129300977906556,0.203575989782886,0.324324931987319,0.125500181884322,-0.178217821782178,0.4
ПвЗАГ2ОБР2,54.213864,69.515271,51,46,0.316538882803943,0.474743326488706,0.480295566502463,0.712173484475111,0.562617883473271,nan,0.002711157455683,0.926282051282051,0.13091922005571,0.19364448857994,0.316525015333392,0.12081718915111,-0.162381596752368,0.7
ПвЗАГ2ОБР10,54.21459,69.516632,43,55,0.300121506682868,0.450113895216401,0.399607586657946,0.676156583629893,0.547833466194671,nan,-0.108333333333333,0.857638888888889,0.140619171950765,0.166530389751976,0.300106920684292,0.107668474051123,-0.175074183976261,0.7
Пв3обр6,54.213925,69.51903,50,70,0.337620578778135,0.506349461501366,0.551081282624907,0.811186650185414,0.581051270352398,2048.81,-0.093681917211329,1.01941747572816,0.131168283424715,0.216018707980123,0.337603210124238,0.143451143451143,-0.125506072874494,0.9
Пв3обр5,54.213274,69.517736,58,62,0.431365447301702,0.646931015752309,0.821198156682028,1.06835306781485,0.656784171019447,1907.3751,-0.100796359499431,1.5171974522293,0.160427807486631,0.291081345965371,0.431340451114749,0.227742252828333,-0.0638297872340426,0.9
Пв3обр3,54.212929,69.516105,61,51,0.324424647364514,0.486546669140842,0.499159663865546,0.8003663003663,0.569582871375636,1719.7216,-0.152292706105963,0.96043956043956,0.133333333333333,0.199731002017485,0.324405380526769,0.134569662387066,-0.136194029850746,1
Пв3обр2,54.212657,69.515235,65,46,0.30989010989011,0.464750045779161,0.505050505050505,0.741844966678358,0.556677743304068,1742.0215,-0.145519713261649,0.898089171974522,0.115492957746479,0.201612903225806,0.309871948896768,0.120448179271709,-0.169117647058824,0.8
Пв3обр1,54.212449,69.514425,67,41,0.315445975344453,0.473083197389886,0.413873733437256,0.789760348583878,0.561645773904204,nan,-0.141301775147929,0.921610169491526,0.152222721149529,0.171456247981918,0.315427676421963,0.128347183748846,-0.127240143369176,1.1
