Точка,Широта,Долгота,у,х,NDVI,SAVI,REVI,EVI,TVI,GNDVI,NDII,CVI,PRI,NDRE,OSAVI,ARVI,VARI
Пв1заг2,54.213149,69.513474,59,34,0.3340857787810384,0.5010579771476936,0.4529809465273509,0.7872340425531915,0.5780015387358743,0.4117647058823529,0.00510204081632653,1.0033898305084747,0.15924474527965798,0.18466549736908044,0.33407069658254707,0.13900036483035388,-0.13859275053304904
Заг2пв,54.215103,69.514337,37,40,0.34936998854524626,0.5239799570508232,0.5328562134027326,0.8858553586988092,0.5910752816226088,0.41289355322338833,0.012027491408934709,1.073943661971831,0.15001870557426114,0.2103776008219882,0.3493539814899661,0.1572700296735905,-0.11621021465581051
ПвЗАГ2ОБР1,54.213129,69.51431,59,40,0.34958382877526756,0.524297815425769,0.590749824807288,0.8340425531914893,0.5912561448097327,0.42141515341264874,0.02275287226852895,1.0749542961608776,0.13209044030146766,0.22802272112523667,0.3495672025111767,0.1529229578010066,-0.1297709923664122
ПвЗАГ2ОБР2,54.213864,69.515271,51,46,0.352046783625731,0.527992983481947,0.526072607260726,0.8766564729867482,0.5933353045502442,0.4132029339853301,0.014480035103115402,1.0866425992779782,0.155165840640488,0.20825712045989025,0.3520303143712575,0.15821462488129154,-0.11119459053343352
ПвЗАГ2ОБР10,54.21459,69.516632,43,55,0.34415584415584416,0.516149975653303,0.4670446491849751,0.9010540632437947,0.5866479729410511,0.40529531568228105,-0.0779510022271715,1.0495049504950495,0.16563403552251135,0.18931341568514795,0.3441379668588645,0.15516520284399832,-0.11222780569514237
ПвЗаг3обр10,54.214125,69.517558,48,61,0.42463867859600823,0.6368484431446757,0.73512154233026,1.14280422300426,0.6516430607288074,0.459802538787024,-0.025653094845846082,1.4760765550239237,0.1759487432232627,0.2687710695678823,0.42461529991466407,0.22717818349896002,-0.0688298918387414
Пв3обр6,54.213925,69.51903,50,70,0.5330281229561805,0.7994114762138302,1.0966010733452594,1.5846782033832394,0.7300877501754022,0.519611021069692,0.10853629699692599,2.2829131652661063,0.2205240174672489,0.35413056036972845,0.5330002354356869,0.3378159054022722,0.02954048140043764
Пв3обр5,54.213274,69.517736,58,62,0.4807843137254902,0.7210350911585963,0.8383641674780915,1.4021043000914912,0.6933861216706678,0.4715510522213562,-0.06995073891625615,1.8519637462235647,0.21610420367081112,0.29536878216123497,0.48075414875929356,0.2847109670448406,0.018823529411764704
Пв3обр4,54.213185,69.516977,59,57,0.4623188405797101,0.6933526535047999,0.8245931283905967,1.4187235935067823,0.6799403213368878,0.46550472040668117,-0.011995104039167686,1.719676549865229,0.19696969696969696,0.2919334186939821,0.4622920410410991,0.2698646986469865,-0.006557377049180328
Пв3обр3,54.212929,69.516105,61,51,0.37942122186495175,0.5690174804098854,0.6436781609195403,1.0198789974070872,0.6159717703474338,0.4065573770491803,-0.10578426263679,1.2227979274611398,0.14977973568281938,0.24347826086956523,0.37939682335541125,0.18694049499736703,-0.05010438413361169
Пв3обр2,54.212657,69.515235,65,46,0.35509554140127386,0.5325373134328358,0.5788497217068647,1.0042783156946633,0.5958989355597758,0.40545004128819156,-0.11192277589355597,1.1012345679012348,0.1419491525423729,0.22446043165467625,0.35507292529138273,0.16944373237631377,-0.0946372239747634
Пв3обр1,54.212449,69.514425,67,41,0.3785488958990536,0.5677114133648729,0.5441696113074206,1.0540184453227932,0.6152632736471872,0.41423948220064727,-0.08887151420380505,1.218274111675127,0.17916666666666667,0.21388888888888888,0.37852501419468804,0.18846549948506694,-0.06722689075630252
Пв2обр7,54.212721,69.514631,64,42,0.3709063214013709,0.5562535693889206,0.696512723845429,1.0309060118543607,0.609020788973062,0.41453831041257366,-0.0802248339294839,1.179176755447942,0.12453630100688924,0.25830129325410695,0.37088372376397477,0.1817731550272412,-0.08223350253807106
146,54.213049,69.515212,60,46,0.3721937770775896,0.5581807442409923,0.6590476190476191,1.0641891891891893,0.6100768616146572,0.40938511326860844,-0.09974160206718347,1.1856963613550815,0.136978884677856,0.24785100286532952,0.3721703240441721,0.1846547314578005,-0.07030430220356768
Пв3обр8,54.213043,69.515258,60,46,0.3721937770775896,0.5581807442409923,0.6590476190476191,1.0641891891891893,0.6100768616146572,0.40938511326860844,-0.09974160206718347,1.1856963613550815,0.136978884677856,0.24785100286532952,0.3721703240441721,0.1846547314578005,-0.07030430220356768
Пв3обр9,54.21239,69.513365,68,34,0.34953703703703703,0.5242297121365543,0.569313593539704,0.8526256352343309,0.5912165737164656,0.4254278728606357,0.029807904614705234,1.0747330960854091,0.13869731800766283,0.2215819800942902,0.34952085551594836,0.15456938698758932,-0.138763197586727
